Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,385.2,401
2020-01-13T05:00:00.000Z,384.4,407
2020-01-20T05:00:00.000Z,394.8,385
2020-01-27T05:00:00.000Z,371.2,395
2020-02-03T05:00:00.000Z,362.4,367
2020-02-10T05:00:00.000Z,383.6,367
2020-02-17T05:00:00.000Z,368.8,380
2020-02-24T05:00:00.000Z,374.4,384
2020-03-03T05:00:00.000Z,376.2,392
2020-03-10T04:00:00.000Z,372.6,387
2020-03-17T04:00:00.000Z,379.2,336
2020-03-24T04:00:00.000Z,365.2,383
2020-03-31T04:00:00.000Z,362.8,357
2020-04-07T04:00:00.000Z,357.8,387
2020-04-14T04:00:00.000Z,357.2,397
2020-04-21T04:00:00.000Z,346.6,411
2020-04-28T04:00:00.000Z,342,393
2020-05-05T04:00:00.000Z,349,406
2020-05-12T04:00:00.000Z,339.6,423
2020-05-19T04:00:00.000Z,323.4,451
2020-05-26T04:00:00.000Z,320.2,375
2020-06-02T04:00:00.000Z,339.4,389
2020-06-09T04:00:00.000Z,335.4,413
2020-06-16T04:00:00.000Z,333,401
2020-06-23T04:00:00.000Z,317.6,370
2020-06-30T04:00:00.000Z,328.4,358
