Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1552.6,1628
2020-01-13T05:00:00.000Z,1628.2,1587
2020-01-20T05:00:00.000Z,1563.8,1488
2020-01-27T05:00:00.000Z,1573.8,1577
2020-02-03T05:00:00.000Z,1568,1515
2020-02-10T05:00:00.000Z,1571.2,1491
2020-02-17T05:00:00.000Z,1544.4,1484
2020-02-24T05:00:00.000Z,1514,1492
2020-03-03T05:00:00.000Z,1495,1571
2020-03-10T04:00:00.000Z,1506,1505
2020-03-17T04:00:00.000Z,1465.2,1475
2020-03-24T04:00:00.000Z,1479.4,1594
2020-03-31T04:00:00.000Z,1425.8,2119
2020-04-07T04:00:00.000Z,1437.4,3469
2020-04-14T04:00:00.000Z,1412,4752
2020-04-21T04:00:00.000Z,1392.2,4717
2020-04-28T04:00:00.000Z,1360.4,3954
2020-05-05T04:00:00.000Z,1364,3167
2020-05-12T04:00:00.000Z,1342.6,2591
2020-05-19T04:00:00.000Z,1324.4,2267
2020-05-26T04:00:00.000Z,1333.8,1921
2020-06-02T04:00:00.000Z,1323.6,1733
2020-06-09T04:00:00.000Z,1338.6,1571
2020-06-16T04:00:00.000Z,1332.2,1467
2020-06-23T04:00:00.000Z,1309.8,1398
2020-06-30T04:00:00.000Z,1329,1418
