Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,NaN,NaN
2020-03-31T04:00:00.000Z,0,29,31
2020-04-07T04:00:00.000Z,0,55,58
2020-04-14T04:00:00.000Z,0,88,91
2020-04-21T04:00:00.000Z,0,85,95
2020-04-28T04:00:00.000Z,0,99,106
2020-05-05T04:00:00.000Z,0,95,104
2020-05-12T04:00:00.000Z,0,119,125
2020-05-19T04:00:00.000Z,0,108,116
2020-05-26T04:00:00.000Z,0,87,95
2020-06-02T04:00:00.000Z,0,96,110
2020-06-09T04:00:00.000Z,0,127,132
2020-06-16T04:00:00.000Z,0,151,169
2020-06-23T04:00:00.000Z,0,186,201
2020-06-30T04:00:00.000Z,0,226,246
