Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,587.4,590
2020-01-13T05:00:00.000Z,574.2,560
2020-01-20T05:00:00.000Z,546.4,575
2020-01-27T05:00:00.000Z,539,572
2020-02-03T05:00:00.000Z,552.2,547
2020-02-10T05:00:00.000Z,531.4,503
2020-02-17T05:00:00.000Z,548.6,574
2020-02-24T05:00:00.000Z,542.8,560
2020-03-03T05:00:00.000Z,534.8,546
2020-03-10T04:00:00.000Z,535,574
2020-03-17T04:00:00.000Z,529.6,522
2020-03-24T04:00:00.000Z,530.6,514
2020-03-31T04:00:00.000Z,515.6,519
2020-04-07T04:00:00.000Z,507.6,545
2020-04-14T04:00:00.000Z,496.6,524
2020-04-21T04:00:00.000Z,481.8,544
2020-04-28T04:00:00.000Z,479.4,540
2020-05-05T04:00:00.000Z,480.8,519
2020-05-12T04:00:00.000Z,495.4,501
2020-05-19T04:00:00.000Z,470,529
2020-05-26T04:00:00.000Z,464.4,518
2020-06-02T04:00:00.000Z,460.2,502
2020-06-09T04:00:00.000Z,490.2,497
2020-06-16T04:00:00.000Z,470,503
2020-06-23T04:00:00.000Z,479.8,497
2020-06-30T04:00:00.000Z,481,512
