Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1051.8,1049
2020-01-13T05:00:00.000Z,1067.6,1035
2020-01-20T05:00:00.000Z,1030,988
2020-01-27T05:00:00.000Z,1033.6,1003
2020-02-03T05:00:00.000Z,1017.2,1034
2020-02-10T05:00:00.000Z,1013.4,1003
2020-02-17T05:00:00.000Z,998.8,1018
2020-02-24T05:00:00.000Z,992.4,971
2020-03-03T05:00:00.000Z,975.8,1078
2020-03-10T04:00:00.000Z,980.8,1048
2020-03-17T04:00:00.000Z,964,1006
2020-03-24T04:00:00.000Z,968.6,1062
2020-03-31T04:00:00.000Z,965.8,1091
2020-04-07T04:00:00.000Z,969.6,1189
2020-04-14T04:00:00.000Z,955.4,1349
2020-04-21T04:00:00.000Z,936.8,1355
2020-04-28T04:00:00.000Z,931.8,1528
2020-05-05T04:00:00.000Z,924.2,1515
2020-05-12T04:00:00.000Z,899.8,1441
2020-05-19T04:00:00.000Z,893.2,1418
2020-05-26T04:00:00.000Z,905,1323
2020-06-02T04:00:00.000Z,884.6,1249
2020-06-09T04:00:00.000Z,912.4,1157
2020-06-16T04:00:00.000Z,922,1141
2020-06-23T04:00:00.000Z,885.6,1040
2020-06-30T04:00:00.000Z,900,994
