Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,692.6,673
2020-01-13T05:00:00.000Z,664,685
2020-01-20T05:00:00.000Z,666.4,657
2020-01-27T05:00:00.000Z,654.8,617
2020-02-03T05:00:00.000Z,654.8,678
2020-02-10T05:00:00.000Z,651,672
2020-02-17T05:00:00.000Z,644.2,688
2020-02-24T05:00:00.000Z,677.2,696
2020-03-03T05:00:00.000Z,634.6,656
2020-03-10T04:00:00.000Z,640.4,696
2020-03-17T04:00:00.000Z,627,627
2020-03-24T04:00:00.000Z,606.8,634
2020-03-31T04:00:00.000Z,628,640
2020-04-07T04:00:00.000Z,604.6,606
2020-04-14T04:00:00.000Z,614.6,635
2020-04-21T04:00:00.000Z,584.8,635
2020-04-28T04:00:00.000Z,591,611
2020-05-05T04:00:00.000Z,589.6,625
2020-05-12T04:00:00.000Z,583.6,658
2020-05-19T04:00:00.000Z,598,579
2020-05-26T04:00:00.000Z,584.8,636
2020-06-02T04:00:00.000Z,580,607
2020-06-09T04:00:00.000Z,573.4,640
2020-06-16T04:00:00.000Z,588.8,641
2020-06-23T04:00:00.000Z,558.6,690
2020-06-30T04:00:00.000Z,571.2,639
