Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1425.2,1428
2020-01-13T05:00:00.000Z,1447,1534
2020-01-20T05:00:00.000Z,1415,1420
2020-01-27T05:00:00.000Z,1378.2,1280
2020-02-03T05:00:00.000Z,1387.2,1422
2020-02-10T05:00:00.000Z,1396.8,1524
2020-02-17T05:00:00.000Z,1385.6,1376
2020-02-24T05:00:00.000Z,1384.4,1443
2020-03-03T05:00:00.000Z,1380.6,1386
2020-03-10T04:00:00.000Z,1369.4,1477
2020-03-17T04:00:00.000Z,1327.4,1432
2020-03-24T04:00:00.000Z,1350.2,1453
2020-03-31T04:00:00.000Z,1319,1515
2020-04-07T04:00:00.000Z,1312.4,1467
2020-04-14T04:00:00.000Z,1294.6,1618
2020-04-21T04:00:00.000Z,1277.8,1598
2020-04-28T04:00:00.000Z,1245.8,1627
2020-05-05T04:00:00.000Z,1285,1663
2020-05-12T04:00:00.000Z,1242.4,1585
2020-05-19T04:00:00.000Z,1231.6,1562
2020-05-26T04:00:00.000Z,1218.4,1458
2020-06-02T04:00:00.000Z,1230.8,1435
2020-06-09T04:00:00.000Z,1224.2,1395
2020-06-16T04:00:00.000Z,1222.2,1408
2020-06-23T04:00:00.000Z,1216,1265
2020-06-30T04:00:00.000Z,1203.6,1395
