Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,834.2,854
2020-01-13T05:00:00.000Z,834.2,872
2020-01-20T05:00:00.000Z,779,848
2020-01-27T05:00:00.000Z,787.4,852
2020-02-03T05:00:00.000Z,772.8,792
2020-02-10T05:00:00.000Z,782.4,844
2020-02-17T05:00:00.000Z,795,807
2020-02-24T05:00:00.000Z,776,880
2020-03-03T05:00:00.000Z,753,842
2020-03-10T04:00:00.000Z,779.8,819
2020-03-17T04:00:00.000Z,778.8,817
2020-03-24T04:00:00.000Z,785,889
2020-03-31T04:00:00.000Z,762.6,856
2020-04-07T04:00:00.000Z,756.8,964
2020-04-14T04:00:00.000Z,776.8,1094
2020-04-21T04:00:00.000Z,750.8,1094
2020-04-28T04:00:00.000Z,729.4,1050
2020-05-05T04:00:00.000Z,734.6,980
2020-05-12T04:00:00.000Z,744.4,894
2020-05-19T04:00:00.000Z,721.4,875
2020-05-26T04:00:00.000Z,723.4,832
