Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,2301.6,2190
2020-01-13T05:00:00.000Z,2314,2250
2020-01-20T05:00:00.000Z,2253,2231
2020-01-27T05:00:00.000Z,2149.6,2198
2020-02-03T05:00:00.000Z,2153.4,2138
2020-02-10T05:00:00.000Z,2161.8,2231
2020-02-17T05:00:00.000Z,2183.8,2219
2020-02-24T05:00:00.000Z,2161.4,2205
2020-03-03T05:00:00.000Z,2121,2209
2020-03-10T04:00:00.000Z,2119.6,2252
2020-03-17T04:00:00.000Z,2082.2,2192
2020-03-24T04:00:00.000Z,2125.2,2281
2020-03-31T04:00:00.000Z,2082.8,2292
2020-04-07T04:00:00.000Z,2074.2,2614
2020-04-14T04:00:00.000Z,2050,2864
2020-04-21T04:00:00.000Z,2013.8,2898
2020-04-28T04:00:00.000Z,1974.2,2974
2020-05-05T04:00:00.000Z,1998.4,2902
2020-05-12T04:00:00.000Z,1929.4,2915
2020-05-19T04:00:00.000Z,1961.4,2806
2020-05-26T04:00:00.000Z,1942.2,2537
