Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,834.6,891
2020-01-13T05:00:00.000Z,842.6,797
2020-01-20T05:00:00.000Z,845,778
2020-01-27T05:00:00.000Z,845.4,684
2020-02-03T05:00:00.000Z,829.2,724
2020-02-10T05:00:00.000Z,842.6,804
2020-02-17T05:00:00.000Z,845,785
2020-02-24T05:00:00.000Z,816,752
2020-03-03T05:00:00.000Z,809.8,793
2020-03-10T04:00:00.000Z,825,796
2020-03-17T04:00:00.000Z,796,791
2020-03-24T04:00:00.000Z,789.6,826
2020-03-31T04:00:00.000Z,740.4,852
2020-04-07T04:00:00.000Z,734.4,774
2020-04-14T04:00:00.000Z,743.6,847
2020-04-21T04:00:00.000Z,722,782
2020-04-28T04:00:00.000Z,730.2,733
2020-05-05T04:00:00.000Z,747,696
2020-05-12T04:00:00.000Z,709.2,775
2020-05-19T04:00:00.000Z,735,728
2020-05-26T04:00:00.000Z,712.8,808
2020-06-02T04:00:00.000Z,697.8,737
2020-06-09T04:00:00.000Z,694,783
2020-06-16T04:00:00.000Z,713.6,762
2020-06-23T04:00:00.000Z,693,734
2020-06-30T04:00:00.000Z,697.8,759
2020-07-07T04:00:00.000Z,704.6,770
2020-07-14T04:00:00.000Z,721,762
2020-07-21T04:00:00.000Z,702.2,777
2020-07-28T04:00:00.000Z,693.4,887
2020-08-04T04:00:00.000Z,694.2,854
2020-08-11T04:00:00.000Z,704.6,774
2020-08-18T04:00:00.000Z,691.6,783
