Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,416.2,392
2020-01-13T05:00:00.000Z,376.8,438
2020-01-20T05:00:00.000Z,362,409
2020-01-27T05:00:00.000Z,384.6,390
2020-02-03T05:00:00.000Z,368,362
2020-02-10T05:00:00.000Z,380.2,312
2020-02-17T05:00:00.000Z,365.4,412
2020-02-24T05:00:00.000Z,384.2,366
2020-03-03T05:00:00.000Z,379.6,395
2020-03-10T04:00:00.000Z,384.8,403
2020-03-17T04:00:00.000Z,365.2,405
2020-03-24T04:00:00.000Z,377,410
2020-03-31T04:00:00.000Z,352,394
2020-04-07T04:00:00.000Z,365.2,408
2020-04-14T04:00:00.000Z,368.2,380
2020-04-21T04:00:00.000Z,374,387
2020-04-28T04:00:00.000Z,335,404
2020-05-05T04:00:00.000Z,350.4,379
2020-05-12T04:00:00.000Z,356.6,371
2020-05-19T04:00:00.000Z,353,403
2020-05-26T04:00:00.000Z,366,374
2020-06-02T04:00:00.000Z,362.6,390
2020-06-09T04:00:00.000Z,355,402
2020-06-16T04:00:00.000Z,346.8,387
2020-06-23T04:00:00.000Z,349.6,400
2020-06-30T04:00:00.000Z,349.2,383
2020-07-07T04:00:00.000Z,340.6,438
2020-07-14T04:00:00.000Z,338.2,406
2020-07-21T04:00:00.000Z,352.6,432
2020-07-28T04:00:00.000Z,335.4,434
2020-08-04T04:00:00.000Z,347.2,433
2020-08-11T04:00:00.000Z,333.4,450
2020-08-18T04:00:00.000Z,329.2,446
