Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1386.4,1327
2020-01-13T05:00:00.000Z,1369.2,1333
2020-01-20T05:00:00.000Z,1391.8,1331
2020-01-27T05:00:00.000Z,1361.4,1348
2020-02-03T05:00:00.000Z,1306,1360
2020-02-10T05:00:00.000Z,1306.4,1328
2020-02-17T05:00:00.000Z,1367.6,1343
2020-02-24T05:00:00.000Z,1312.4,1356
2020-03-03T05:00:00.000Z,1291,1362
2020-03-10T04:00:00.000Z,1296.4,1390
2020-03-17T04:00:00.000Z,1276.6,1297
2020-03-24T04:00:00.000Z,1285,1263
2020-03-31T04:00:00.000Z,1229.8,1334
2020-04-07T04:00:00.000Z,1224,1292
2020-04-14T04:00:00.000Z,1223.2,1460
2020-04-21T04:00:00.000Z,1225.2,1345
2020-04-28T04:00:00.000Z,1200.8,1440
2020-05-05T04:00:00.000Z,1219.2,1385
2020-05-12T04:00:00.000Z,1144.8,1416
2020-05-19T04:00:00.000Z,1155.2,1339
2020-05-26T04:00:00.000Z,1182,1283
2020-06-02T04:00:00.000Z,1147.2,1229
2020-06-09T04:00:00.000Z,1168.4,1267
2020-06-16T04:00:00.000Z,1147.6,1237
2020-06-23T04:00:00.000Z,1145.6,1204
2020-06-30T04:00:00.000Z,1176.2,1249
2020-07-07T04:00:00.000Z,1173.4,1246
2020-07-14T04:00:00.000Z,1164.2,1240
2020-07-21T04:00:00.000Z,1156.8,1306
2020-07-28T04:00:00.000Z,1150.2,1268
2020-08-04T04:00:00.000Z,1114,1256
2020-08-11T04:00:00.000Z,1189.6,1223
2020-08-18T04:00:00.000Z,1138.8,1210
